kode_konsep,konsep,definisi
K01711,Pertunjukan/Pameran Seni,"Karya seni yang dipertontonkan maupun dipamerkan pada suatu pertunjukan atau event tertentu sehingga dapat dinikmati atau diapresiasi oleh masyarakat luas meliputi antara lain: seni film, seni musik/suara, seni rupa, seni sastra, seni tari budaya Indonesia, seni teater/pewayangan, dan seni lainnya."
K02378,Perubahan Iklim,Peralihan cuaca yang mencolok yang terjadi di antara dua periode tertentu dari suatu wilayah iklim.
K01714,Perumahan,Kumpulan beberapa buah rumah; rumah-rumah tempat tinggal.
K01715,Perundungan/Bullying,"Segala bentuk penindasan atau kekerasan yang dilakukan dengan sengaja oleh satu orang atau sekelompok orang yang lebih kuat atau berkuasa terhadap orang lain, dengan tujuan untuk menyakiti dan dilakukan secara terus menerus."
K01716,Perusahaan,"Suatu badan yang melakukan kegiatan ekonomi dengan menanggung risiko usaha, baik berbadan hukum maupun tidak, yang mempekerjakan pekerja/buruh dengan membayar upah atau imbalan dalam bentuk lain."
K01735,Peserta Didik,"Anggota masyarakat yang berusaha mengembangkan potensi diri melalui proses pembelajaran yang tersedia pada jalur, jenjang, dan jenis pendidikan tertentu."
K01736,Peserta Pelatihan,Orang yang ikut serta dalam program pendidikan dan pelatihan dengan tujuan untuk mendapatkan nilai tambah berupa peningkatan pengetahuan dan ketrampilan atau kompetensi.
K01742,Petambak Garam,"Setiap orang yang melakukan kegiatan usaha pergaraman, termasuk pemilik dan/atau penggarap tambak garam."
K01744,Petani,"Seseorang dan/atau beserta keluarganya yang melakukan usaha pertanian di bidang tanaman pangan, hortikultura, perkebunan, dan/atau peternakan."
K01745,Petani Gurem,"Seseorang dan/atau beserta keluarganya yang melakukan usaha pertanian dengan penguasaan lahan pertanian kurang dari 0,5 hektare."
K00734,Pidana,"Kejahatan (tentang pembunuhan, perampokan, korupsi, dan sebagainya); kriminal."
K01749,Pidana Khusus,Pidana yang diatur di luar Kitab Undang-Undang Hukum Pidana dan memiliki ketentuan-ketentuan khusus acara pidana.
K01753,Pola Pangan Harapan (PPH),"Susunan beragam pangan yang didasarkan atas proporsi keseimbangan energi dari berbagai kelompok pangan untuk memenuhi kebutuhan energi dan zat gizi lainnya, baik dalam jumlah maupun mutu dengan mempertimbangkan segi daya terima, ketersediaan pangan, ekonomi, budaya dan agama."
K01755,Pompa Banjir,Salah satu jenis prasarana pengendali banjir untuk mengubah aliran dan/atau alur sungai.
K01756,Pondok Bersalin Desa (Polindes),"Bangunan yang dibangun dengan sumbangan dana pemerintah dan partisipasi masyarakat desa untuk tempat pertolongan persalinan dan pemondokan ibu bersalin, sekaligus empat tinggal bidan di desa. Di samping pertolongan persalinan juga dilakukan pelayanan Kesehatan Ibu dan Anak (KIA), Keluarga Berencana (KB), dan pelayanan kesehatan lain sesuai kebutuhan masyarakat dan kompentensi teknis bidan tersebut."
K01760,Pos Kesehatan Desa (Poskesdes),Sarana kesehatan/bangunan yang dibentuk di desa/kelurahan dalam rangka mendekatkan/menyediakan pelayanan kesehatan dasar bagi masyarakat desa/kelurahan.
K01761,Pos Lintas Batas Negara (PLBN),"Tempat yang ditunjuk pada perbatasan wilayah negara untuk memberitahukan dan menyelesaikan kewajiban pabean, imigrasi, karantina, dan keamanan terhadap barang yang dibawa oleh pelintas batas."
K01765,Post-Enumeration Survey,Survei sampel yang dilaksanakan segera setelah sensus untuk tujuan utama mengevaluasi sensus.
K01766,Posyandu,"Salah satu bentuk upaya kesehatan bersumber daya masyarakat yang dikelola dan diselenggarakan dari, oleh, untuk dan bersama masyarakat dalam penyelenggaraan pembangunan kesehatan, guna memberdayakan masyarakat dan memberikan kemudahan kepada masyarakat dalam memperoleh pelayanan kesehatan dasar untuk mempercepat penurunan angka kematian ibu dan bayi."
K01773,Produk,Barang atau jasa yang dibuat dan ditambah gunanya atau nilainya dalam proses produksi dan menjadi hasil akhir dari proses produksi itu.
K01775,Produk Domestik Bruto (PDB),"Nilai tambah yang dihasilkan oleh seluruh unit usaha dalam suatu negara tertentu, atau merupakan nilai ekonomi barang dan jasa akhir yang dihasilkan oleh seluruh unit ekonomi."
K01776,Produk Domestik Regional Bruto (PDRB),"Nilai tambah yang dihasilkan oleh seluruh unit usaha dalam sektor perekonomian pada suatu wilayah, atau merupakan nilai ekonomi barang dan jasa akhir yang dihasilkan oleh seluruh unit ekonomi di wilayah tertentu."
K01779,Produksi,Proses mengeluarkan hasil.
K01781,Produksi Ikutan,Produk lain yang dihasilkan sejalan dengan produk utama dengan suatu proses dan teknologi yang sama.
K01811,Program Pelatihan,Suatu rumusan tertulis yang memuat rancangan pencapaian kompetensi secara komprehensif sebagai dasar pelaksanaan berbagi pengetahuan dan/atau keterampilan yang diselenggarakan berdasarkan kurikulum berbasis kompetensi.
K01827,Psikolog Klinis,"Setiap orang yang telah lulus pendidikan yang berkaitan dengan proses mental, baik normal maupun abnormal dan pengaruhnya pada perilaku individu."
K01828,Psikotropika,"Zat atau obat, baik alamiah maupun sintetis bukan narkotika, yang berkhasiat psikoatif melalui pangaruh selektif pada susunan saraf pusat yang menyebabkan perubahan khas pada aktivitas mental dan perilaku."
K01829,Publikasi Ilmiah,"Penerbitan hasil karya pemikiran sesorang/sekelompok orang dalam bentuk karya tulis ilmiah yang ditulis berdasarkan data dan fakta (observasi, eksperimen, kajian pustaka)."
K01832,Puncak,Bagian permukaan bumi yang memiliki elevasi atau perbedaan ketinggian terhadap daerah sekitarnya (di atas permukaan laut) lebih dari 30 meter atau memiliki kemiringan lebih dari 50 derajat.
K01833,Pupuk,"Bahan yang diberikan pada tanah, air, atau daun dengan tujuan untuk memperbaiki pertumbuhan tanaman, baik secara langsung maupun tidak langsung, atau menambah unsur hara."
K01838,Pusat Kesehatan Masyarakat (Puskesmas),"Fasilitas pelayanan kesehatan yang menyelenggarakan upaya kesehatan masyarakat dan upaya kesehatan perseorangan tingkat pertama, dengan lebih mengutamakan upaya promotif dan preventif di wilayah kerjanya."
K02379,Puso,"Suatu keadaan kerusakan tanaman atau bagian tanaman yang dapat disebabkan serangan organisme pengganggu tanaman (OPT), dampak perubahan iklim, dan/atau sebab lainnya sehingga hasil panen tidak lebih dari 11% dari keadaan normal."
K02380,Putus Sekolah,Predikat yang diberikan kepada mantan peserta didik yang tidak mampu menyelesaikan suatu jenjang pendidikan sehingga tidak dapat melanjutkan studinya ke jenjang pendidikan berikutnya.
K01848,Rawa,"Lahan genangan air secara alamiah yang terjadi terus menerus atau musiman akibat drainase alamiah yang terhambat serta mempunyai ciri-ciri khusus secara fisik, kimiawi, dan biologis."
K01851,Rawat Jalan,"Pelayanan pasien untuk observasi, diagnosis, pengobatan, rehabilitasi medis, dan pelayanan kesehatan lainnya tanpa menginap di rumah sakit."
K01858,Reboisasi,Upaya penanaman jenis pohon pada kawasan hutan untuk mengembalikan fungsi hutan.
K01861,Registrasi,Pencatatan; pendaftaran (dalam register).
K01867,Rehabilitasi Hutan dan Lahan,"Upaya untuk memulihkan, mempertahankan dan meningkatkan fungsi hutan dan lahan sehingga daya dukung, produktifitas dan peranannya dalam mendukung sistem penyangga kehidupan tetap terjaga."
K01870,Rehabilitasi Penyalah Guna Narkotika,"Suatu proses pemulihan klien gangguan penyalahgunaan narkotika dan zat adiktif, baik dalam bentuk rawat jalan maupun rawat inap, baik dalam jangka waktu pendek maupun panjang, yang bertujuan untuk mengubah perilaku dan mengembalikan fungsi individu tersebut di masyarakat."
K01876,Remisi,Pengurangan masa pidana yang diberikan kepada narapidana yang memenuhi syarat yang ditentukan dalam ketentuan peraturan perundang-undangan.
K01877,Remitansi,Transfer uang yang dilakukan oleh pekerja asing (migran) ke penerima negara asalnya.
K01896,Residivis,Mantan narapidana yang mengulangi tindak pidana dalam kurun waktu 2 tahun setelah dinyatakan bebas.
K01898,Retribusi Daerah,Pendapatan atas pungutan daerah sebagai pembayaran atas jasa atau pemberian izin tertentu yang khusus disediakan dan/atau diberikan oleh pemerintah daerah untuk kepentingan orang pribadi atau badan.
K01904,Rombongan Belajar,Kelompok peserta didik yang terdaftar pada satuan kelas dalam satu satuan pendidikan.
K01905,Ruang Kelas,"Suatu ruangan di dalam bangunan sekolah atau kampus, yang berfungsi sebagai tempat untuk kegiatan tatap muka dalam proses kegiatan belajar mengajar (KBM)."
K01907,Ruang Terbuka Hijau (RTH),"Area memanjang/jalur dan/atau mengelompok, yang penggunaannya lebih bersifat terbuka, tempat tumbuh tanaman, baik yang tumbuh secara alamiah maupun yang sengaja ditanam."
K02381,Ruas Jalan,"Bagian jalan yang terletak di antara dua simpang, baik yang sebidang maupun yang tidak sebidang, baik yang diberi isyarat lalu lintas maupun tidak."
K01913,Rumah Ibadat/Rumah Ibadah,"Bangunan yang memiliki ciri-ciri tertentu yang khusus dipergunakan untuk beribadat bagi pemeluk masing-masing agama secara permanen, tidak termasuk tempat ibadat keluarga."
K01915,Rumah Layak Huni,Rumah yang memenuhi persyaratan keselamatan bangunan dan kecukupan minimum luas bangunan serta kesehatan penghuninya.
K01919,Rumah Sakit,"Institusi pelayanan kesehatan yang menyelenggarakan pelayanan kesehatan perorangan secara paripurna yang menyediakan pelayanan rawat inap, rawat jalan, dan gawat darurat."
K01920,Rumah Sakit Bersalin (RSB),"Rumah sakit khusus untuk persalinan, dilengkapi pelayanan spesialis pemeriksaan kehamilan, persalinan, rawat inap, dan rawat jalan ibu dan anak yang berada dibawah pengawasan dokter spesialis kandungan."
K01923,Rumah Susun,"Bangunan gedung bertingkat yang dibangun dalam suatu lingkungan yang terbagi dalam bagian-bagian yang distrukturkan secara fungsional, baik dalam arah horizontal maupun vertikal dan merupakan satuan-satuan yang masing-masing dapat dimiliki dan digunakan secara terpisah, terutama untuk tempat hunian yang dilengkapi dengan bagian bersama, benda bersama dan tanah bersama."
K01925,Rumah Tangga,Seseorang atau sekelompok orang yang tinggal bersama dalam satu pengelolaan makan/minum dan pemenuhan kebutuhan sehari-hari.
K01932,Rumah Tangga Usaha Pertanian (RTUP),Rumah tangga yang memelihara/menguasai/melakukan kegiatan pertanian dengan tujuan sebagian atau seluruh hasilnya untuk dijual/ditukar (khusus tanaman pangan termasuk yang seluruhnya dikonsumsi sendiri).
K01938,Rute Penerbangan,Lintasan pesawat udara dari bandar udara asal ke bandar udara tujuan malalui jalur penerbangan yang telah ditetapkan.
K01939,Sabo Dam,"Bangunan yang dipasang melintang alur di hulu sungai lahar yang berfungsi untuk mengendalikan dasar sungai bagian hilir agar tetap stabil meskipun ada suplai material, atau sedimen yang terangkut oleh aliran air di suatu wilayah."
K01941,Saluran,Struktur kanal atau pipa yang berfungsi untuk menyalurkan air atau barang cair.
K01945,Sampah,Sisa kegiatan sehari-hari dan/atau proses alam yang berbentuk padat.
K01953,Sanitasi,"Usaha untuk membina dan menciptakan suatu keadaan yang baik di bidang kesehatan dan kebersihan lingkungan, terutama kesehatan masyarakat."
K01957,Sarana Bantu Navigasi-Pelayaran (SBNP),Peralatan atau sistem yang berada di luar kapal yang didesain dan dioperasikan untuk meningkatkan keselamatan dan efisiensi bernavigasi kapal dan/atau lalu lintas kapal.
K01971,Satuan Pendidikan,"Kelompok layanan pendidikan yang menyelenggarakan pendidikan pada jalur formal, nonformal, dan informal pada setiap jenjang dan jenis pendidikan."
K01975,Satwa Liar,"Satwa yang masih mempunyai sifat liar, kemurnian jenis, dan genetik, baik yang hidup di alam bebas maupun yang dipelihara oleh manusia."
K01976,Sekolah,"Lembaga pendidikan yang menyelenggarakan kegiatan belajar dan mengajar serta menerima dan memberi pelajaran sesuai dengan tingkatan, jurusan dan sebagainya, yang memiliki unsur pendukung seperti sarana dan prasarana serta sesuai aturan yang berlaku."
K01977,Sekolah Dasar (SD),Salah satu bentuk satuan pendidikan formal yang menyelenggarakan pendidikan umum pada jenjang pendidikan dasar.
K01978,Sekolah Luar Biasa (SLB),"Satuan pendidikan khusus bagi peserta didik yang memiliki tingkat kesulitan dalam mengikuti proses pembelajaran karena kelainan fisik, emosional, mental, dan/atau sosial, yang terintegrasi pada jalur formal untuk jenjang pendidikan dasar sampai dengan pendidikan menengah dalam satu manajemen pengelolaan."
K01979,Sekolah Menengah Atas (SMA),"Salah satu bentuk satuan pendidikan formal yang menyelenggarakan pendidikan umum pada jenjang pendidikan menengah sebagai lanjutan dari sekolah menengah pertama (SMP) atau bentuk lain yang sederajat, termasuk hasil belajar yang diakui setara dengan SMP."
K01981,Sekolah Menengah Kejuruan (SMK),"Salah satu bentuk satuan pendidikan formal yang menyelenggarakan pendidikan kejuruan pada jenjang pendidikan menengah sebagai lanjutan dari sekolah menengah pertama (SMP) atau bentuk lain yang sederajat, termasuk hasil belajar yang diakui setara dengan SMP."
K01984,Sekolah Menengah Pertama (SMP),"Salah satu bentuk satuan pendidikan formal yang menyelenggarakan pendidikan umum pada jenjang pendidikan dasar sebagai lanjutan dari sekolah dasar (SD) atau bentuk lain yang sederajat, termasuk hasil belajar yang diakui setara dengan SD."
K01987,Sektor Institusi,"Sektor ekonomi yang terlibat dalam berbagai transaksi, dapat memiliki aset dan menimbulkan kewajiban atas namanya sendiri."
K01990,Sengketa Informasi Publik,Sengketa yang terjadi antara badan publik dan pengguna/pemohon informasi publik yang berkaitan dengan hak memperoleh dan menggunakan informasi berdasarkan perundang-undangan.
K01992,Seni,"Ekspresi artistik individu, kolektif, atau komunal, yang berbasis warisan budaya maupun berbasis kreativitas penciptaan baru yang terwujud dalam berbagai bentuk kegiatan dan/atau medium."
K02383,Sertifikasi,"Rangkaian proses untuk mendapatkan pengakuan formal dari pihak yang berwenang atas kepatuhan organisasi atau kompetensi sumber daya manusia berdasarkan standar tertentu, baik yang berlaku secara nasional maupun internasional."
K02012,Sewa,Pemakaian sesuatu dengan membayar uang.
K02017,Siklus Unggas Pedaging,Rentang waktu yang dimulai dari saat DOC (day-old chick)/DOD (day-old duck)/DOQ (day-old quail) dibeli kemudian dipelihara/digemukkan sampai akhirnya dijual.
K02018,Sinyal Darurat,Sinyal yang dipancarkan untuk mendapatkan bantuan.
K02384,Sistem Merit,"Kebijakan dan manajemen sumber daya manusia (SDM) yang berdasarkan pada kualifikasi, kompetensi, dan kinerja secara adil dan wajar dengan tanpa membedakan latar belakang politik, ras, warna kulit, agama, asal usul, jenis kelamin, status pernikahan, umur, atau kondisi kecacatan."
K02026,Siswa,Seseorang yang bersekolah atau menuntut ilmu pada tingkat sekolah dasar dan menengah.
K02027,Sitasi,"Referensi dalam sebuah karya ilmiah ke tulisan lain yang diambil dari buku, makalah, atau sumber lain."
K02028,Situ,"Suatu wadah genangan air di atas permukaan tanah yang terbentuk secara alami maupun buatan dan merupakan sumber air baku yang airnya berasal dari tanah, air hujan dan/atau sumber air lainnya."
K02029,Situs Peninggalan Sejarah,"Bukti-bukti baik tertulis maupun tidak tertulis yang menunjukkan peristiwa-peristiwa sejarah dari masyarakat masa lampau, seperti candi, istana, kerajaan, prasasti dan benteng."
K02385,Standar,"Spesifikasi teknis yang dirancang untuk memastikan kualitas, keselamatan, kepatuhan produk, proses, dan layanan."
K02386,Standar Nasional Indonesia (SNI),"Persyaratan teknis atau sesuatu yang dibakukan, yang dirancang untuk memastikan kualitas, keselamatan, dan kepatuhan barang, jasa, proses, sistem, dan personel yang ditetapkan oleh badan yang berwenang dalam bidang standardisasi di tingkat nasional dan berlaku di wilayah Negara Kesatuan Republik Indonesia."
K02045,Standardisasi,"Proses merencanakan, merumuskan, menetapkan, menerapkan, memberlakukan, memelihara, dan mengawasi persyaratan teknis atau sesuatu yang dibakukan, yang dilaksanakan secara tertib dan bekerja sama dengan semua pemangku kepentingan."
K02047,Stasiun Kereta Api,Tempat pemberangkatan dan pemberhentian kereta api.
K02064,Subsidi,Semua bantuan dalam bentuk uang atau barang yang diberikan pemerintah pada perusahaan swasta maupun perusahaan pemerintah.
K02070,Suku Bangsa,Kelompok etnis dan budaya masyarakat yang terbentuk secara turun temurun.
K02071,Sumber Air,"Tempat atau wadah air alami dan/ atau buatan yang terdapat pada, di atas, atau di bawah permukaan tanah."
K02077,Sumber Daya Manusia (SDM),Potensi manusia yang dapat dikembangkan untuk proses produksi.
K02081,Sumber Penerangan,Sumber energi yang menghasilkan cahaya untuk menyinari suatu tempat/ruangan.
K02085,Sungai,Tempat-tempat dan wadah-wadah serta jaringan pengaliran air mulai dari mata air sampai muara dengan dibatasi kanan dan kirinya serta sepanjang pengalirannya oleh garis sempadan.
K02087,Suplemen Kesehatan,"Produk yang dimaksudkan untuk melengkapi kebutuhan zat gizi, memelihara, meningkatkan dan/atau memperbaiki fungsi kesehatan, mempunyai nilai gizi dan/atau efek fisiologis, mengandung satu atau lebih bahan berupa vitamin, mineral, asam amino dan/atau bahan lain bukan tumbuhan yang dapat dikombinasi dengan tumbuhan."
K02098,Tamat Sekolah,"Kondisi seseorang telah menyelesaikan pelajaran pada kelas/tingkat terakhir suatu jenjang pendidikan dengan mendapatkan tanda tamat/ijazah, termasuk yang belum mengikuti pelajaran pada kelas tertinggi namun sudah mengikuti ujian dan lulus."
K02108,Tanaman di Bawah Pelindung,"Tanaman di bawah struktur permanen dengan atap kaca, plastik, atau material lain yang digunakan untuk melindungi tanaman dari cuaca, hama, atau penyakit."
K02110,Tanaman Kehutanan,"Tanaman tahunan yang berumur panjang, berbatang keras, dan biasanya bentuk produksinya adalah batang/kayu, seperti akasia, jabon, jati, mahoni, sengon, dan lain-lain. Namun, ada beberapa komoditas tanaman kehutanan bentuk produksinya bukan batang/kayu, seperti bambu, kayu putih, dan pinus."
K02119,Tanaman Semusim,Tanaman yang pada umumnya berumur kurang dari satu tahun dan pemanenannya dilakukan sekali panen langsung dibongkar.
K02120,Tanaman Tahunan,Tanaman yang pada umumnya berumur lebih dari satu tahun dan pemungutan hasilnya dilakukan lebih dari satu kali dan tidak dibongkar sekali panen.
K00395,Tebasan,"Penjualan hasil atau produk pertanian di lokasi kepada penebas pada saat budi daya pertanian siap dipanen, dengan pelaksanaan pemanenan menjadi tanggung jawab pembeli."
K02388,Tebing,"Tepi sungai (jurang) yang tinggi dan terjal (hampir tegak); tepi tanah darat yang tinggi dan terjal sebagai pemisah dari rawa, sawah, yang ada di samping bawahnya."
K02130,Teknologi,"Cara, metode, atau proses penerapan dan pemanfaatan berbagai disiplin ilmu pengetahuan dalam pemenuhan kebutuhan, kelangsungan, dan peningkatan kualitas keluaran atau tujuan tertentu."
K02137,Telepon Genggam/Telepon Seluler,"Setiap alat perlengkapan yang digunakan dalam berkomunikasi jarak jauh dengan menggunakan jaringan seluler dan jaringan nirkabel lainnya, termasuk smartphone."
K00453,Tempat Buang Air Besar,Sarana yang digunakan sebagai tempat membuang dan menampung kotoran atau najis manusia.
K02142,Tempat Pembuangan Akhir Tinja,"Bangunan di bawah tanah untuk tempat penampungan, pengolah, dan pengurai kotoran/tinja, yang berfungsi mencegah terjadinya pencemaran atau kontaminasi dari tinja melalui vektor pembawa penyakit, baik secara langsung maupun tidak langsung."
K02145,Tempat Pemrosesan Akhir (TPA),Tempat untuk memproses dan mengembalikan sampah ke media lingkungan.
K02146,Tempat Penampungan Sementara (TPS),"Tempat penampungan sebelum sampah diangkut ke tempat pendauran ulang, pengolahan, dan/atau tempat pengolahan sampah terpadu."
K02148,Tempat Tinggal,Rumah (bidang dan sebagainya) tempat orang berdiam atau menetap.
K02156,Tenaga gizi,Tenaga kesehatan yang telah memenuhi kualifikasi bidang gizi yang terdiri dari nutrisionis dan dietisien sesuai dengan peraturan perundang-undangan yang berlaku.
K02159,Tenaga Kerja,Setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.
K02160,Tenaga Kerja Asing,Warga negara asing pemegang visa dengan maksud bekerja di wilayah Indonesia.
K02174,Tenaga Kesehatan,Setiap orang yang mengabdikan diri dalam bidang kesehatan serta memiliki pengetahuan dan/atau keterampilan melalui pendidikan di bidang kesehatan yang untuk jenis tertentu memerlukan kewenangan untuk melakukan upaya kesehatan.
K02177,Tenaga Kesehatan Terlatih,"Tenaga kesehatan yang memiliki kompetensi kebidanan, seperti dokter kandungan, dokter umum, bidan, perawat, dan tenaga medis lainnya yang memiliki kemampuan klinis kebidanan sesuai standar."
K02184,Tenaga Perpustakaan,Pustakawan (seseorang yang memiliki kompetensi yang diperoleh melalui pendidikan dan/atau pelatihan kepustakawanan serta mempunyai tugas dan tanggung jawab untuk melaksanakan pengelolaan dan pelayanan perpustakaan) dan tenaga teknis perpustakaan (tenaga non-pustakawan yang secara teknis mendukung pelaksanaan fungsi perpustakaan).
K02186,Tenaga Teknis Kefarmasian,"Tenaga yang membantu apoteker dalam menjalankan pekerjaan kefarmasian, yang terdiri atas sarjana farmasi, ahli madya farmasi, analis farmasi dan tenaga menengah farmasi/asisten apoteker."
K02057,Tengkes/Stunting,Kondisi anak pendek atau sangat pendek berdasarkan panjang/tinggi badan menurut usia yang kurang dari -2 kali standar deviasi (SD) pada kurva pertumbuhan WHO yang disebabkan kondisi yang tidak dapat diubah/irreversible akibat asupan nutrisi yang tidak adekuat dan/atau infeksi berulang/kronis yang terjadi dalam 1000 hari pertama kehidupan.
K02190,Terminal,"Prasarana transportasi dengan fasilitas pendukung yang digunakan dalam mengatur kedatangan dan keberangkatan, tempat untuk menunggu, menaikkan, dan menurunkan orang dan/atau barang, serta perpindahan moda angkutan."
K02197,Ternak,"Hewan peliharaan yang produknya diperuntukan sebagai penghasil pangan, bahan baku industri, jasa, dan/atau hasil ikutannya, termasuk hewan peliharaan untuk hobi."
K02199,Teroris,"Setiap orang yang sengaja melakukan perbuatan yang menggunakan kekerasan atau ancaman kekerasan yang menimbulkan suasana teror atau rasa takut secara meluas yang dapat menimbulkan korban yang bersifat massal dan/atau menimbulkan kerusakan atau kehancuran terhadap objek vital yang strategis, Iingkungan hidup, fasilitas publik, atau fasilitas internasional dengan motif ideologi, politik, atau gangguan keamanan."
K02200,Terorisme,"Perbuatan yang menggunakan kekerasan atau ancaman kekerasan yang menimbulkan suasana teror atau rasa takut secara meluas yang dapat menimbulkan korban yang bersifat massal dan/atau menimbulkan kerusakan atau kehancuran terhadap objek vital yang strategis, Iingkungan hidup, fasilitas publik, atau fasilitas internasional dengan motif ideologi, politik, atau gangguan keamanan."
K02212,Toleransi,"Sifat atau sikap menenggang (menghargai, membiarkan, membolehkan) pendirian (pendapat, pandangan, kepercayaan, kebiasaan, kelakuan, dan sebagainya) yang berbeda atau bertentangan dengan pendirian sendiri."
K02213,Topografi,Keadaan muka bumi pada suatu kawasan atau daerah.
K02220,Transaksi,Persetujuan jual beli antara dua pihak.
K02222,Transmigrasi,Perpindahan penduduk secara sukarela untuk meningkatkan kesejahteraan dan menetap di kawasan yang diselenggarakan oleh pemerintah.
K02223,Transportasi,Perpindahan manusia atau barang dari satu tempat ke tempat lainnya dengan menggunakan kendaraan.
K02224,Transportasi Publik/Umum,Jasa transportasi (memindahkan orang atau barang dari satu tempat ke tempat lain) dengan berbayar.
K02227,Trayek Angkutan,"Lintasan/rute/jalur angkutan umum untuk pelayanan jasa angkutan, baik angkutan untuk orang maupun angkutan untuk orang dan barang, yang mempunyai asal, tujuan, dan lintasan perjalanan yang tetap; tidak termasuk angkutan yang hanya mengangkut barang."
K02230,Tuberkulosis (TB),Penyakit menular yang disebabkan oleh bakteri Mycobacterium tuberculosis yang dapat menyerang paru-paru dan organ lainnya.
K02234,Tumbuhan Liar,Tumbuhan yang hidup di alam bebas dan/atau dipelihara yang masih mempunyai kemurnian jenisnya
K01591,Tutupan Lahan,"Kenampakan biofisik di permukaan bumi yang terdiri dari areal bervegetasi, lahan terbuka, lahan terbangun, serta tubuh air dan lahan basah."
K02240,Umur/Usia,Lama waktu hidup sejak dilahirkan yang dihitung menurut sistem kalender masehi dengan pembulatan ke bawah atau umur ulang tahun yang terakhir.
K02389,Unggas Pedaging,Jenis ternak unggas yang dipelihara atau dibudidayakan untuk dimanfaatkan dagingnya sebagai konsumsi manusia.
K02250,Unmet Need Pelayanan Kesehatan,Penduduk yang memiliki keluhan kesehatan dan terganggu aktivitasnya namun tidak berobat jalan.
K02252,Upacara Adat,"Suatu upacara yang bersifat tradisional (ritus)/turun-temurun yang berhubungan dengan adat/kebiasaan/tradisi/budaya suatu masyarakat setempat, seperti upacara perkawinan dan upacara labuhan."
K02261,Usaha,Suatu kegiatan dengan tujuan menghasilkan barang dan/atau jasa untuk memperoleh keuntungan dan/atau memenuhi kebutuhan sendiri.
K02262,Usaha Akomodasi,"Usaha yang menyediakan tempat menginap atau tempat tinggal sementara, baik harian maupun mingguan, bagi orang yang bepergian."
K02265,Usaha Hortikultura,"Kegiatan hortikultura yang menghasilkan produk tanaman sayuran, tanaman buah-buahan, tanaman hias, dan tanaman obat, termasuk pembibitan tanaman hortikultura, dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar atas risiko usaha."
K02268,Usaha Jasa Pertanian,"Kegiatan jasa pertanian atas dasar balas jasa atau kontrak, seperti kegiatan pengolahan lahan, penyelenggaraan irigasi, pemupukan, penyewaan alat pertanian dengan operatornya, penyebaran bibit/benih, pengendalian organisme pengganggu tanaman, pemangkasan, pemanenan, penanganan pascapanen, pelayanan pencari rumput untuk makanan ternak, penggembalaan ternak, pelayanan kesehatan ternak, pencukuran bulu ternak, penyewaan pejantan, penetasan telur, dan pemeliharaan/perawatan alat pertanian."
K02269,Usaha Kecil,"Usaha ekonomi produktif yang berdiri sendiri yang dilakukan oleh perseorangan atau badan usaha yang bukan merupakan cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian, baik langsung maupun tidak langsung, dari usaha menengah atau usaha besar yang memenuhi kriteria memiliki modal usaha lebih dari Rp1.000.000.000,00 (satu miliar rupiah) sampai dengan paling banyak Rp5.000.000.000,00 (lima miliar rupiah) tidak termasuk tanah dan bangunan tempat usaha."
K02271,Usaha Kehutanan,"Kegiatan-kegiatan yang bersangkut paut dengan hutan dan kepengurusannya, usaha ini mencakup usaha budi daya dan pembibitan tanaman kehutanan, penangkaran satwa/tumbuhan liar, pemungutan hasil hutan, dan penangkapan satwa liar."
K02273,Usaha Menengah,"Usaha ekonomi produktif yang berdiri sendiri yang dilakukan oleh perseorangan atau badan usaha yang bukan merupakan anak perusahaan atau cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian, baik langsung maupun tidak langsung, dengan usaha kecil atau usaha besar yang memenuhi kriteria memiliki modal usaha lebih dari Rp5.000.000.000,00 (lima miliar rupiah) sampai dengan paling banyak Rp10.000.000.000,00 (sepuluh miliar rupiah) tidak termasuk tanah dan bangunan tempat usaha."
K02274,Usaha Mikro,"Usaha ekonomi produktif milik perseorangan dan/atau badan usaha perorangan yang memenuhi kriteria memiliki modal usaha sampai dengan paling banyak Rp1.000.000.000,00 (satu miliar rupiah) tidak termasuk tanah dan bangunan tempat usaha."
K02279,Usaha Pariwisata,Usaha yang menyediakan produk berupa barang dan/atau jasa untuk kebutuhan wisatawan dan penyelenggaraan pariwisata.
K02281,Usaha Pemungutan Hasil Hutan,"Kegiatan mengambil benda-benda hayati di hutan/kawasan hutan, dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar."
K02282,Usaha Penangkaran Tumbuhan/Satwa Liar,"Kegiatan kehutanan yang mengupayakan pembiakan tumbuhan/satwa liar melalui pengembangbiakan dan pembesaran dengan tetap mempertahankan jenisnya, dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar."
K02283,Usaha Pengolahan Ikan,Usaha perikanan yang berbasis pada kegiatan pengolahan ikan.
K02284,Usaha Perburuan dan Penangkapan Satwa Liar,"Kegiatan berburu dan menangkap satwa liar dan/atau mengambil bagian-bagiannya, dengan tujuan sebagian atau seluruh hasilnya dijual/ditukar, misalnya penangkapan ular, buaya, ayam hutan, dll."
